make,transmission,state,condition,odometer,auction_value,selling_price
ford,automatic,fl,3.7,64747.0,10300.0,10500.0
ford,automatic,mo,3.7,75258.0,8200.0,7100.0
hyundai,automatic,ca,5,12741.0,33400.0,31750.0
nissan,automatic,nv,2.9,49060.0,,8900.0
nissan,automatic,il,3.7,9350.0,26200.0,23700.0
dodge,,fl,5,,18750.0,19000.0
,,ga,2.8,58687.0,21800.0,19400.0
chevrolet,automatic,tx,4.1,19290.0,27800.0,28000.0
nissan,automatic,tn,4.2,41311.0,,12900.0
,automatic,fl,3.9,47484.0,24100.0,24800.0
nissan,,ca,2.5,54482.0,,11800.0
nissan,automatic,fl,3.8,38693.0,11350.0,11200.0
nissan,automatic,tn,1.9,104552.0,16850.0,16600.0
,automatic,ca,4.1,40078.0,13100.0,13000.0
dodge,automatic,mn,3,13332.0,17250.0,17600.0
kia,automatic,wi,3.7,13480.0,14100.0,13300.0
chevrolet,,az,4.3,59531.0,13250.0,13800.0
kia,automatic,ca,3.6,37301.0,,14200.0
chrysler,automatic,mi,4.4,125623.0,8325.0,6500.0
dodge,automatic,nv,3.9,25322.0,21000.0,22700.0
toyota,automatic,wi,1.9,48774.0,8975.0,6700.0
ford,automatic,ny,4.1,18879.0,19250.0,20000.0
chrysler,automatic,mn,3.5,33087.0,20500.0,20000.0
nissan,automatic,ca,3.7,52053.0,9175.0,9000.0
dodge,automatic,fl,2.6,49950.0,8875.0,6800.0
ford,automatic,oh,2.4,39641.0,12750.0,12800.0
nissan,automatic,fl,4.1,,16950.0,18600.0
honda,automatic,il,3.7,9874.0,19800.0,19700.0
chrysler,automatic,mi,4.5,30121.0,11400.0,11900.0
bmw,automatic,ga,3.6,96817.0,,18000.0
nissan,automatic,tn,,12088.0,,20800.0
chevrolet,automatic,ca,3.6,41320.0,21500.0,20100.0
honda,automatic,in,4.5,39077.0,28600.0,28250.0
hyundai,automatic,tn,3.3,46859.0,11150.0,11000.0
ford,automatic,mo,4.3,29725.0,13550.0,14300.0
kia,,wi,,7791.0,17450.0,16300.0
bmw,automatic,tx,4.1,36976.0,,31750.0
nissan,automatic,fl,4.3,34836.0,12750.0,12800.0
dodge,automatic,in,4.7,20303.0,12200.0,12900.0
honda,automatic,fl,4.7,12708.0,,16500.0
ford,automatic,tn,4.8,8857.0,16600.0,16800.0
ford,automatic,ga,4.6,13067.0,34300.0,34800.0
ford,automatic,ny,4.3,,10050.0,10000.0
nissan,automatic,,4.3,39454.0,11950.0,11400.0
dodge,automatic,il,4.3,23624.0,17150.0,17100.0
ford,automatic,tx,3.6,30161.0,36100.0,36000.0
ford,automatic,il,4.4,18167.0,29600.0,29700.0
dodge,automatic,tn,2.7,83638.0,6575.0,5600.0
dodge,automatic,tn,4.6,37529.0,19700.0,20000.0
,automatic,pa,4,14946.0,19100.0,19100.0
honda,automatic,mi,3.7,19599.0,13200.0,12100.0
ford,,nj,,60040.0,10050.0,6300.0
,automatic,nj,3.5,29981.0,,13400.0
ford,automatic,il,2.1,16831.0,14650.0,11700.0
nissan,automatic,ga,4.8,11359.0,,14800.0
nissan,automatic,nj,3.8,28061.0,9450.0,10100.0
chevrolet,automatic,tx,3.5,54932.0,9850.0,10300.0
nissan,automatic,ca,5,2441.0,16500.0,17000.0
toyota,automatic,fl,4.6,34126.0,17100.0,18200.0
nissan,automatic,ga,4.4,20018.0,,17000.0
nissan,automatic,oh,1,999999.0,7375.0,800.0
,manual,ca,4.3,7997.0,20100.0,20000.0
,automatic,fl,4.1,36665.0,12400.0,13300.0
chevrolet,automatic,mo,4.3,,5800.0,7900.0
nissan,automatic,,4.7,36048.0,17350.0,19200.0
hyundai,automatic,mn,4.2,56957.0,10150.0,10500.0
bmw,,nj,5,3145.0,42100.0,47750.0
kia,automatic,nc,3.3,65686.0,11050.0,10000.0
honda,automatic,ga,2.6,84355.0,9525.0,9000.0
kia,automatic,pa,4.8,36406.0,13450.0,14400.0
hyundai,automatic,ca,4.3,53961.0,8600.0,8600.0
dodge,automatic,tn,3.6,38209.0,16350.0,17500.0
chevrolet,automatic,ga,4.4,85010.0,12450.0,13000.0
bmw,automatic,,4.3,18084.0,30900.0,30500.0
chevrolet,automatic,sc,,55385.0,24700.0,25900.0
dodge,automatic,il,5,3833.0,13400.0,13300.0
dodge,automatic,mn,4,28526.0,16600.0,17300.0
hyundai,automatic,,4,27331.0,10050.0,10200.0
nissan,,tx,2.1,25638.0,11600.0,11900.0
chevrolet,automatic,tx,2.1,60815.0,,9000.0
hyundai,automatic,ga,,52080.0,10650.0,8300.0
chevrolet,automatic,nv,4.7,25403.0,15150.0,15750.0
chevrolet,automatic,,4.2,13625.0,12850.0,12500.0
bmw,automatic,wa,3.8,38586.0,27800.0,29500.0
nissan,automatic,ga,4.2,18485.0,10500.0,9900.0
kia,automatic,md,2.1,15968.0,10250.0,7700.0
ford,automatic,mo,4.1,38560.0,10100.0,10100.0
kia,automatic,ca,4.3,22167.0,17450.0,17600.0
kia,automatic,nj,2.7,46216.0,14250.0,13400.0
toyota,automatic,oh,4.7,,,14700.0
dodge,automatic,tx,2.1,143963.0,4250.0,4700.0
dodge,automatic,nc,3.7,31277.0,10900.0,10000.0
honda,automatic,in,4.3,35973.0,18900.0,19250.0
,,ca,5,305.0,19050.0,20250.0
toyota,automatic,ca,2.4,39693.0,21700.0,21400.0
,automatic,mo,4.2,23316.0,,12000.0
ford,automatic,mi,4.6,26141.0,27200.0,24500.0
nissan,automatic,ca,3.7,,17100.0,14250.0
nissan,automatic,fl,3.6,16384.0,13350.0,14200.0
chevrolet,automatic,co,4.9,27504.0,49400.0,48800.0
chevrolet,automatic,ca,4,,25300.0,25801.0
chevrolet,automatic,wi,4.2,54850.0,16000.0,15700.0
ford,automatic,,3.9,80269.0,10000.0,10200.0
nissan,automatic,ga,3.3,46861.0,9625.0,10000.0
,,il,,20785.0,33800.0,34000.0
,automatic,fl,2,12092.0,14700.0,14200.0
dodge,automatic,nj,3.1,68590.0,9850.0,10200.0
toyota,automatic,ga,3.9,16184.0,12600.0,12500.0
,,or,3.9,50030.0,8925.0,9100.0
ford,automatic,ga,,13818.0,,54800.0
,automatic,md,4.4,15201.0,15050.0,15200.0
dodge,,pa,4,24327.0,22900.0,23200.0
ford,automatic,ga,,,,27000.0
,automatic,ne,4.7,33168.0,17900.0,19000.0
bmw,automatic,ca,,43088.0,32300.0,34000.0
bmw,automatic,,4.3,25324.0,,24000.0
ford,automatic,ga,3.7,14648.0,22300.0,20500.0
ford,automatic,co,5,9106.0,,36000.0
ford,automatic,ga,4.9,,,12600.0
nissan,automatic,nj,2.7,56370.0,10300.0,8200.0
ford,,tn,4.4,32642.0,28200.0,27500.0
chevrolet,automatic,sc,3.7,,10950.0,11000.0
chevrolet,,fl,3,43291.0,14350.0,15500.0
,automatic,il,3.7,33091.0,12100.0,11400.0
chevrolet,,,4.3,49548.0,,26900.0
honda,automatic,pa,4.7,7740.0,,27500.0
kia,automatic,tx,4.2,50627.0,,15700.0
nissan,automatic,fl,4.6,,17150.0,18000.0
toyota,automatic,nj,2.1,86054.0,7300.0,7200.0
chrysler,automatic,tn,4.4,42472.0,,10800.0
bmw,automatic,ca,4.3,19903.0,40400.0,40250.0
nissan,,nj,4.7,38057.0,11850.0,11600.0
ford,automatic,nj,3.9,89405.0,9400.0,9200.0
ford,automatic,sc,3.8,,12150.0,12900.0
nissan,automatic,co,3.4,54617.0,14550.0,12300.0
nissan,automatic,,3.3,41386.0,10150.0,9100.0
